long,lat,q_ps_test_data,q_ps_predicted,residual
-128.662,47.8563,495.3203091145,495.47440458353003,-0.15409546903003957
-128.714,48.4535,615.10439485193,615.1045832708113,-0.0001884188812937282
-128.69,48.49,615.10439485193,615.10030808022,0.004086771710035464
-128.6863,48.4387,531.15760845266,531.1693935852883,-0.011785132628233441
-127.763,47.7046,262.38779189237,262.38263610736965,0.005155785000340529
-127.742,47.7784,257.67515241703,257.69917475807017,-0.02402234104016543
-128.755,48.435,649.51371744501,649.3369186533138,0.17679879169622836
-128.7101,48.451,615.10439485193,615.1045832708113,-0.0001884188812937282
-126.678,48.1213,197.89847269812,197.89805551625466,0.0004171818653446735
-128.6675,47.8612,495.3203091145,495.33936068948304,-0.019051574983052433
-128.69,48.29,527.67515477576,527.7570633920599,-0.08190861629987012
-127.747,47.7601,257.67515241703,257.69917475807017,-0.02402234104016543
-128.68,48.45,615.10439485193,615.0535190364036,0.050875815526410406
-127.388,47.785,233.35611510341,233.25664206777017,0.09947303563981791
-128.85,48.43,649.51371744501,643.359143207854,6.154574237155998
-127.786,47.6925,262.38779189237,262.38263610736965,0.005155785000340529
-128.6828,48.4337,531.15760845266,531.1536148011463,0.003993651513724217
-129.093,47.9557,2753.9345346423,2755.3370990969934,-1.4025644546932199
-128.7084,48.4555,615.10439485193,615.1045832708113,-0.0001884188812937282
-126.466,48.2196,193.51597489366,193.5659794897019,-0.05000459604190155
-128.66,48.43,531.15760845266,531.1490293723679,0.008579080292179242
-128.554,47.9243,437.77934178494,437.9290538925666,-0.14971210762661258
-127.591,47.839,250.09188623759,249.627095327138,0.4647909104519954
-128.72,48.46,615.10439485193,615.1051542517621,-0.0007593998320771789
-128.72,48.46,615.10439485193,615.1051542517621,-0.0007593998320771789
-128.7083,48.3167,527.67515477576,527.8300665474338,-0.15491177167382375
-128.72,48.44,531.15760845266,531.1622053456241,-0.004596892964059407
-128.6217,48.46,508.22227635983,508.3614913322357,-0.13921497240568215
-128.602,47.9318,437.77934178494,437.8004199768093,-0.02107819186926463
-126.98,48.4243,219.8009571006,218.28608095930323,1.514876141296753
-128.7117,48.4569,615.10439485193,615.1045832708113,-0.0001884188812937282
-128.65,48.46,615.10439485193,615.1545246810057,-0.050129829075672205
-127.218,47.7505,225.22161419461,225.21157500142948,0.010039193180517714
-128.635,48.4617,508.22227635983,508.0869959645984,0.13528039523163216
-128.579,47.8731,437.77934178494,437.7745804761891,0.00476130875091485
-127.6965,47.8618,264.85829724021,264.8225784613517,0.0357187788582678
-127.798,47.6915,262.38779189237,262.37765829993094,0.010133592439046879
-127.8717,47.8593,287.95214121249,287.9124314680818,0.03970974440818509
-127.723,47.8495,257.67515241703,257.7189125755591,-0.043760158529096316
-127.779,47.691,262.38779189237,262.38263610736965,0.005155785000340529
-128.7533333,48.82166667,571.43854872006,571.2149427875356,0.22360593252437866
-128.523,47.8616,397.83439275395,397.8744906689221,-0.04009791497207971
-128.7055,48.4573,615.10439485193,615.1045832708113,-0.0001884188812937282
-129.094,47.9563,2753.9345346423,2755.612749504573,-1.6782148622728528
-128.7092,48.4522,615.10439485193,615.1045832708113,-0.0001884188812937282
-128.786,47.9158,581.09921225716,581.0923001443203,0.0069121128397000575
-128.78,48.51,807.68141835452,807.6150455623915,0.06637279212850444
-127.783,47.6877,262.38779189237,262.38263610736965,0.005155785000340529
-127.676,47.7234,253.08200722473,253.10244621290593,-0.020438988175925488
-128.5666667,48.35666667,465.29943271476,465.2600230065616,0.0394097081983773
-128.73,48.42,531.15760845266,530.9820795823855,0.17552887027454744
-128.61,47.934,437.77934178494,437.79960484555863,-0.0202630606186176
-127.786,47.7283,262.38779189237,262.38263610736965,0.005155785000340529
-128.5927,47.9315,437.77934178494,437.8004199768093,-0.02107819186926463
-128.6983,47.8837,495.3203091145,495.3152060576154,0.005103056884593116
-128.7022,48.4601,615.10439485193,615.1051542517621,-0.0007593998320771789
-128.6633,48.4267,531.15760845266,531.1490293723679,0.008579080292179242
-129.099,47.9467,5015.9146722461,5015.922727254438,-0.008055008337578329
-128.71,48.47,615.10439485193,615.1109786083349,-0.006583756404893393
-129.094,47.9531,2753.9345346423,2753.651146843695,0.2833877986049629
-128.48,48.4633,447.89153219187,448.3397476000078,-0.4482154081377985
-128.6383,48.4833,508.22227635983,508.5243804016903,-0.3021040418602752
-127.769,47.7645,266.09179195412,266.0797088800902,0.012083074029817453
-128.6852,48.4343,531.15760845266,531.1536148011463,0.003993651513724217
-128.6367,48.46,508.22227635983,508.3614913322357,-0.13921497240568215
-127.773,47.6896,262.38779189237,262.38263610736965,0.005155785000340529
