lon,lat,grav,age,q,ps_q,stein_q,z_ps,z_stein,bathy
-132.8833364,48.01666763,50.62163162,8.9937639,8,157.7574645,170.0589271,3549.636164,32124.04302,-1599.547707
-132.8833364,48.1333343,44.22808456,8.9937639,8,157.7574645,170.0589271,3549.636164,32124.04302,-1780.551777
-132.8833364,48.25000096,-20.1703701,8.9937639,8,157.7574645,170.0589271,3549.636164,32124.04302,-3027.486559
-132.8833364,48.36666763,-29.74358749,6.8122478,50,181.2656198,195.4001791,3413.50991,19538.45283,-3439.498423
-132.8833364,48.4833343,-17.34653664,6.8122478,50,181.2656198,195.4001791,3413.50991,19538.45283,-3142.006493
-132.8833364,48.60000097,-0.97874856,6.8122478,50,181.2656198,195.4001791,3413.50991,19538.45283,-2857.487114
-132.8833364,48.71666764,-18.95168877,6.8122478,50,181.2656198,195.4001791,3413.50991,19538.45283,-3398.505234
-132.8833364,48.83333431,-9.656697273,7.3883481,29,174.0551927,187.6275042,3451.353059,22524.50599,-3167.999444
-132.8833364,48.95000098,-5.658947945,7.3883481,29,174.0551927,187.6275042,3451.353059,22524.50599,-3159.500235
-132.8833364,49.06666765,-11.32954121,7.3883481,29,174.0551927,187.6275042,3451.353059,22524.50599,-3264.004383
-132.8833364,49.18333432,-10.47273922,7.3883481,29,174.0551927,187.6275042,3451.353059,22524.50599,-3204.493575
-132.8833364,49.30000099,-2.612464666,7.3883481,29,174.0551927,187.6275042,3451.353059,22524.50599,-2942.462099
-132.8833364,49.41666765,-8.007335663,7.3883481,29,174.0551927,187.6275042,3451.353059,22524.50599,-3104.499309
-132.8833364,49.53333432,10.42535305,7.3883481,29,174.0551927,187.6275042,3451.353059,22524.50599,-3001.514005
-132.8833364,49.65000099,-10.23845387,7.3883481,29,174.0551927,187.6275042,3451.353059,22524.50599,-3269.503376
-132.8833364,49.76666766,-11.92737198,7.3883481,29,174.0551927,187.6275042,3451.353059,22524.50599,-3243.998642
-132.8833364,49.88333433,-11.00181961,7.3883481,29,174.0551927,187.6275042,3451.353059,22524.50599,-3223
-132.8833364,50.000001,-6.697871208,7.3883481,29,174.0551927,187.6275042,3451.353059,22524.50599,-3220.493437
