long,lat,bathy
-127.08125,45.02708333,-2843
-127.0770833,45.02708333,-2842
-127.0729167,45.02708333,-2842
-127.06875,45.02708333,-2842
-127.0645833,45.02708333,-2841
-127.0604167,45.02708333,-2841
-127.05625,45.02708333,-2841
-127.0520833,45.02708333,-2841
-127.0479167,45.02708333,-2841
-127.04375,45.02708333,-2842
-127.0395833,45.02708333,-2842
-127.0354167,45.02708333,-2842
-127.03125,45.02708333,-2842
-127.0270833,45.02708333,-2842
-127.0229167,45.02708333,-2842
-127.01875,45.02708333,-2842
-127.0145833,45.02708333,-2842
-127.0104167,45.02708333,-2842
-127.00625,45.02708333,-2842
-127.0020833,45.02708333,-2842
-127.4979167,45.03125,-2969
-127.49375,45.03125,-2951
-127.4895833,45.03125,-2950
-127.4854167,45.03125,-2948
-127.48125,45.03125,-2947
-127.4770833,45.03125,-2945
-127.4729167,45.03125,-2945
-127.46875,45.03125,-2945
-127.4645833,45.03125,-2940
-127.4604167,45.03125,-2936
-127.45625,45.03125,-2941
-127.4520833,45.03125,-2945
